names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Cd2ap,-0.17363255,-23.650368,0.8621542549252499,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Plekhg1,-0.17952748,-1.2390486,0.8575235458902036,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ctnnd2,-0.18167108,-0.3393536,0.855840857912973,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Plxna4,-0.1832788,-23.574146,0.8545792714734557,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Hs3st3a1,-0.1832788,-23.765968,0.8545792714734557,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Frmd4b,-0.1832788,-23.738913,0.8545792714734557,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Atp13a5,-0.1832788,-23.878954,0.8545792714734557,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tspan12,-0.18649422,-0.7043482,0.8520572167924119,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rfx2,-0.19292505,-23.686493,0.8470176683051924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ecm2,-0.19292505,-23.630682,0.8470176683051924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ephb1,-0.19292505,-0.9334094,0.8470176683051924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Park2,-0.19292505,-23.639858,0.8470176683051924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ahnak,-0.19292505,-23.758207,0.8470176683051924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tgfb2,-0.19855203,-0.6131123,0.842613182264438,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Porcn,-0.20015974,-1.0663494,0.8413556551603156,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ifngr1,-0.2020354,-2.1783013,0.8398890518005281,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Flna,-0.2025713,-23.938124,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Foxj2,-0.2025713,-23.955328,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Frem2,-0.2025713,-23.944756,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Stard13,-0.2025713,-24.153278,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Trim56,-0.2025713,-24.301825,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rbm20,-0.2025713,-23.788046,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ctsc,-0.2025713,-23.965654,0.8394701241134357,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Hyal1,-0.21007395,-0.8073582,0.8336099638750325,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Gpr179,-0.21221755,-23.986036,0.8319373137154888,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tiam2,-0.21221755,-23.898705,0.8319373137154888,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cnr1,-0.21221755,-23.985418,0.8319373137154888,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Celsr1,-0.2218638,-23.92314,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Atad2b,-0.2218638,-24.482788,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nudt1,-0.2218638,-23.983683,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Bach2,-0.2218638,-24.044344,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Zic4,-0.2218638,-24.357643,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Col23a1,-0.2218638,-23.971497,0.8244199078721841,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Agl,-0.22883055,-0.4434873,0.8190006269311944,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nr2f2,-0.23151006,-24.162355,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Igfbp7,-0.23151006,-24.131796,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Il17rd,-0.23151006,-24.044903,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ranbp3l,-0.23151006,-24.126736,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Olfr287,-0.23151006,-24.123484,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ano1,-0.23151006,-24.022367,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Smad9,-0.23151006,-24.238567,0.816918573108945,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nfkbia,-0.23418957,-0.5982224,0.8148378104553601,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
