names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Gstm5,1.2269732,0.62428373,0.21983265580997724,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Meis2,1.2248614,2.9764237,0.22062744925376998,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Calb2,1.2135983,2.697924,0.22490115714210113,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fbxo2,1.2030392,2.9410596,0.2289611714250469,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Slc1a3,1.2009274,0.81641763,0.22977939615147658,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ugt8a,1.2009274,2.4399505,0.22977939615147658,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tlcd1,1.166434,2.829402,0.2434389800677651,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Zfp462,1.1593946,2.823103,0.2462953515774483,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Chd7,1.1347567,1.6215637,0.25647729594999247,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fmn2,1.1037831,26.133322,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fam19a1,1.1037831,26.478788,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Grid1,1.1037831,26.134708,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Sorcs3,1.1037831,25.984629,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Shisa9,1.1037831,26.387241,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Casc5,1.1037831,26.441929,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Kif11,1.1037831,25.71873,0.26968722057160077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pard3,1.0826648,1.7892988,0.27895721598041623,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Khdrbs2,1.081257,6.49732,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Dscaml1,1.081257,6.251701,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Myt1,1.081257,5.9231153,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Nr2e1,1.081257,6.5669312,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Elfn1,1.081257,6.1744947,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Kcnip1,1.081257,6.187064,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ccnb1,1.081257,6.396932,0.27958283025442987,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pbk,1.0784411,5.699985,0.2808369182797634,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tmem108,1.0763294,2.637697,0.28177998715244046,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Adarb2,1.0587307,5.4551187,0.28972241209058813,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Chst11,1.043244,1.7378896,0.2968352938605682,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Mtss1,1.0390203,1.1219903,0.2987952706725333,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Dpyd,1.0362046,5.0357747,0.3001067107030646,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Bcl11b,1.0362046,4.5104947,0.3001067107030646,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ckap2l,1.0291651,3.9529264,0.3034020773619621,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ckap2,1.0249414,3.5410404,0.30539079787712,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pcbp3,1.0108626,2.2231154,0.31208218703228774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Xrcc5,1.0080469,4.0059447,0.3134319731658781,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Scg3,0.968626,2.8428817,0.3327318160682675,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Col11a1,0.9587708,3.2822762,0.33767421557777155,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tac1,0.95313925,3.0547886,0.34051951307482853,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Agl,0.9489156,1.9314673,0.3426635361963454,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Orc6,0.94750774,1.8704818,0.3433801241496548,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Phlpp1,0.9369486,1.9016471,0.3487850134128244,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Atp1a2,0.92216575,-0.008770211,0.3564421198317329,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Hipk2,0.91371846,1.5014923,0.36086481180337737,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ampd3,0.9080869,2.6954706,0.36383231434582897,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gpc6,0.90738297,1.7026043,0.364204322269026,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Kif13a,0.9052711,1.7658681,0.36532177207474326,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cdyl,0.8897844,2.8845031,0.37358168219971677,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Stoml1,0.86585027,2.4051158,0.38657226424927316,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ntsr2,0.8644424,2.6272042,0.3873449052804222,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gad1,0.84050834,1.8549438,0.4006234306267077,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Aspm,0.82783735,25.412752,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Lrrtm4,0.82783735,25.927567,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Grik3,0.82783735,25.62377,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Dct,0.82783735,25.67066,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ska1,0.82783735,25.253153,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fam19a2,0.82783735,25.925943,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ralyl,0.82783735,25.351955,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Angptl1,0.82783735,25.76598,0.4077626167257874,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Hmgn5,0.8137585,1.4253062,0.415783320634293,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Sntg1,0.8046072,5.831391,0.421046371797131,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cyp2j9,0.8046072,5.6449203,0.421046371797131,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Grik4,0.8046072,5.659044,0.421046371797131,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ccna2,0.80319935,5.1799097,0.42185952815213734,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cdh20,0.80319935,5.1668363,0.42185952815213734,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ptpro,0.8017914,5.075616,0.4226736045553855,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Csmd1,0.8017914,5.0715895,0.4226736045553855,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Bub1b,0.80038357,4.5211663,0.42348860043242575,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Esco2,0.80038357,4.7750435,0.42348860043242575,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Enho,0.79967964,2.5358765,0.4238964429929276,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Enpp2,0.7940481,-0.9103312,0.4271674447488254,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Mast2,0.7912323,2.083208,0.4288084454290413,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Unc79,0.7813771,4.58524,0.4345807388096071,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fam155a,0.7799692,4.710784,0.4354089998449152,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Mki67,0.7785613,4.259904,0.4362381708999,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Rgs7,0.77715343,4.182929,0.43706825132906957,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Chst3,0.77715343,4.157292,0.43706825132906957,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tpx2,0.7757456,3.7749722,0.4378992404826163,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Hexb,0.77433765,1.1619927,0.43873113770641803,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
