names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Ddah1,-4.1982565,-1.6215563,2.6897799496838762e-05,0.00015282840623203844,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Adcy2,-4.3589654,-6.5891843,1.306788120913203e-05,7.59760535414653e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Sorcs2,-4.4524417,-27.04756,8.489926685015042e-06,5.008806303843682e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gna13,-4.485388,-2.0969465,7.278143453625421e-06,4.319372969510635e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gpc5,-4.541474,-5.623702,5.586236178143427e-06,3.335066375011001e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cyp2j9,-4.6936464,-6.9685545,2.6837793284403475e-06,1.6265329263274832e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Slc7a2,-4.7177033,-2.2261553,2.3852208662000926e-06,1.4633256847853328e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Slc14a1,-4.7495203,-8.208496,2.038995329493164e-06,1.2586390922797308e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
AI854517,-4.7557993,-5.177697,1.976627802375457e-06,1.2277191319102218e-05,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pgm2,-4.8808813,-3.177096,1.0561277005301107e-06,6.705572701778481e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Nfib,-4.8853965,-1.4267243,1.0322094766818877e-06,6.574582654024763e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Csrp1,-4.9122753,-0.72375154,9.002551308811671e-07,5.789422063544483e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rfx4,-5.00554,-27.25074,5.570560553729612e-07,3.6290296766968154e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Entpd2,-5.014923,-3.8885999,5.305469521754008e-07,3.467627138401313e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Plekhb1,-5.0907626,-3.6615767,3.566266234348262e-07,2.3462277857554356e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ctsd,-5.130552,-0.9395253,2.8889427961027093e-07,1.913207149736894e-06,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ppp2r2b,-5.537192,-4.85594,3.07359874491491e-08,2.0980196211023277e-07,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
