names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Fau,11.015172,0.9286483,3.229184203794613e-28,9.096293531815812e-27,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tgfbr1,10.846578,3.9809518,2.0703224962098377e-27,5.672116427972158e-26,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd14,10.772894,9.339215,4.622371955510306e-27,1.232632521469415e-25,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cmtm6,10.707376,2.613694,9.398885433137284e-27,2.47339090345718e-25,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Junb,10.634712,1.8367898,2.054618605210628e-26,5.268252833873406e-25,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Man2b1,9.899102,5.0055647,4.200294580305449e-23,9.655849609897584e-22,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps29,9.673561,0.9949552,3.905465671209573e-22,8.583441035625435e-21,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
P2ry13,9.521296,28.881561,1.710333984684279e-21,3.678137601471568e-20,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ctsc,9.5139475,3.2235374,1.83561472112106e-21,3.9055632364277876e-20,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rgs1,9.201252,29.3382,3.538032028753003e-20,6.80390774760193e-19,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rac2,9.130222,7.8294563,6.835904431447826e-20,1.3020770345614908e-18,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tmem176a,9.104913,3.3369431,8.633614759574227e-20,1.6289839169007976e-18,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps4x,8.976323,0.8356429,2.799656422605944e-19,5.136984261662283e-18,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fgd2,8.591169,7.748822,8.608893861739784e-18,1.5236980286265103e-16,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Itgb5,8.589332,3.467057,8.747643975489383e-18,1.534674381664804e-16,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rab3il1,8.571982,4.2479587,1.0171840629277814e-17,1.769015761613533e-16,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ptgs1,8.192543,6.369788,2.5576321360609846e-16,4.125213122679007e-15,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd52,7.8851547,8.635472,3.1414655741064542e-15,4.724008382114968e-14,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lair1,7.6236906,7.3990517,2.465242922960026e-14,3.521775604228608e-13,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gna15,7.601034,28.28612,2.937733971296424e-14,4.1376534806991894e-13,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl3,7.483263,0.6410266,7.249953385874119e-14,9.863882157651864e-13,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl4,7.4410124,29.566042,9.991652735740669e-14,1.350223342667658e-12,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl3,7.3610015,29.267086,1.8253542665117638e-13,2.4501399550493474e-12,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Nfkbia,7.296299,1.617685,2.9579144180017876e-13,3.91776744106197e-12,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl23a,7.1895494,0.58383936,6.500537132703124e-13,8.553338332504111e-12,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd83,7.1615868,3.757583,7.974856474528564e-13,1.0424648986311849e-11,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lag3,7.1407676,7.1471243,9.281121120089449e-13,1.1975640154954127e-11,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Susd3,7.125051,7.5235586,1.040420860175068e-12,1.3253768919427617e-11,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps23,6.964417,0.5215752,3.2976650649213507e-12,4.071191438174507e-11,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc2a5,6.880936,28.317553,5.946046014641107e-12,7.121013191186954e-11,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Itgam,6.8009253,28.14313,1.0394927225117435e-11,1.2087124680369111e-10,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
P2ry6,6.670091,7.3201575,2.5564445796645945e-11,2.840493977405105e-10,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slco2b1,6.354946,1.998904,2.084994315989828e-10,2.229940444908907e-09,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl11,6.305144,0.5570746,2.8792679068110034e-10,3.0468443458317496e-09,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ptpn6,6.2561574,6.0250797,3.9457863004262156e-10,4.13171340358766e-09,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Pla2g15,6.1059327,4.544579,1.0220198179894895e-09,1.0428773652953975e-08,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Jun,5.9934688,1.0815933,2.054118993669436e-09,2.0438994961884934e-08,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps27a,5.958974,0.45506293,2.5382637313001813e-09,2.513132407227902e-08,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Itgb2,5.7607837,27.881027,8.372421000294192e-09,8.011886124683438e-08,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ctsh,5.7191453,0.9507209,1.0706108001422947e-08,1.0147969669595212e-07,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Sgk1,5.3925705,1.8345909,6.94568468196733e-08,6.257373587357955e-07,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Frmd4a,5.3868556,2.6908946,7.170107123388088e-08,6.373428554122745e-07,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Mpeg1,5.360729,27.731983,8.288659745773663e-08,7.302783916981201e-07,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ncf1,5.2007074,27.643274,1.9853119750229373e-07,1.7263582391503802e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl12,5.0406857,27.845253,4.6386638645274234e-07,3.914484273862805e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gpx1,5.022724,0.80011606,5.094366755509372e-07,4.280980466814599e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
F11r,4.982311,1.6736195,6.28294884867864e-07,5.214479308253832e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Mafb,4.981494,3.2494721,6.309519962987136e-07,5.214479308253832e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd300a,4.9061775,6.7777276,9.286836634350918e-07,7.581091130082382e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Prkcd,4.865152,2.6418984,1.1436901317940125e-06,9.298293754422866e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps6ka1,4.8631105,3.930509,1.1555519280854562e-06,9.356695773971305e-06,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl9,4.800653,27.52228,1.5814894107031108e-06,1.2702726190386432e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Il10ra,4.720642,27.56561,2.3510105579832944e-06,1.8439298493986622e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gpr183,4.640631,27.535475,3.4734618597048027e-06,2.7030831593033483e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gpr84,4.640631,27.514105,3.4734618597048027e-06,2.7030831593033483e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
