names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Grn,15.722438,3.597511,1.061596693809977e-55,2.621226404469079e-54,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fam105a,15.405852,9.127298,1.4950457615293532e-53,3.602519907299646e-52,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd53,15.256168,29.66915,1.4978941603456955e-52,3.5244568478722243e-51,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rpl23a,15.123438,1.5244732,1.1346072601223096e-51,2.60829255200531e-50,astrocyte_vs_microglial cell,astrocyte,microglial cell
Jun,15.037265,3.6371126,4.1848931472901545e-51,9.511120789295806e-50,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cmtm6,14.744485,4.2648168,3.338580778075221e-49,7.502428714775778e-48,astrocyte_vs_microglial cell,astrocyte,microglial cell
Siglech,14.698016,29.472696,6.6376139425657746e-49,1.4750253205701722e-47,astrocyte_vs_microglial cell,astrocyte,microglial cell
Nfkbia,14.602443,4.202957,2.7095863278935316e-48,5.95513478657919e-47,astrocyte_vs_microglial cell,astrocyte,microglial cell
Olfml3,14.498349,10.440702,1.2409807238751951e-47,2.697784182337381e-46,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd68,14.461895,8.755449,2.1091075141356225e-47,4.535715084162629e-46,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gpx1,14.458557,3.3962219,2.213914295106482e-47,4.710455947035068e-46,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fcgr1,14.134681,7.655403,2.3218459745209433e-45,4.837179113585298e-44,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ly6e,14.129586,6.1012187,2.49607878835713e-45,5.146554202798206e-44,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cyth4,13.723138,8.640062,7.380113369349957e-43,1.4470810528137173e-41,astrocyte_vs_microglial cell,astrocyte,microglial cell
Hpgds,13.39566,29.265673,6.410354230124706e-41,1.244728976723244e-39,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tgfbr1,13.111402,4.620462,2.8331533949315376e-39,5.345572443267053e-38,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rpl36a,12.971907,1.7906989,1.7658185508470806e-38,3.300595422144076e-37,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ctsa,12.701263,2.916144,5.818262904919288e-37,1.0774560935035719e-35,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ctsc,12.679391,5.281428,7.692747130002795e-37,1.4115132348628983e-35,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd14,12.538139,9.719301,4.61707008699436e-36,8.394672885444291e-35,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rpl35,12.449507,2.0344603,1.4071267529385364e-35,2.535363518808174e-34,astrocyte_vs_microglial cell,astrocyte,microglial cell
Man2b1,11.577667,4.9243402,5.34813846534009e-31,8.83989828981833e-30,astrocyte_vs_microglial cell,astrocyte,microglial cell
H2-D1,11.490088,2.7549639,1.479603401332953e-30,2.3673654421327248e-29,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ier2,11.439052,4.7675657,2.6678508932842154e-30,4.201339989423961e-29,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tmem176b,11.4088335,2.2937264,3.7775918935362816e-30,5.856731617885707e-29,astrocyte_vs_microglial cell,astrocyte,microglial cell
P2ry13,11.01363,7.890524,3.2849710365746365e-28,4.9029418456337854e-27,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slco2b1,10.710397,7.3900447,9.097117955019515e-27,1.3089378352546064e-25,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rgs1,10.697923,29.3382,1.0408507943772603e-26,1.4763841054996601e-25,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rac2,10.697923,28.640394,1.0408507943772603e-26,1.4763841054996601e-25,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rab3il1,10.472431,5.768707,1.1563486286639667e-25,1.6060397620332873e-24,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd9,10.232971,1.7704059,1.4112135366314734e-24,1.9331692282622923e-23,astrocyte_vs_microglial cell,astrocyte,microglial cell
Sgk1,10.17359,6.502616,2.60140290453248e-24,3.5154093304492973e-23,astrocyte_vs_microglial cell,astrocyte,microglial cell
F11r,9.975856,7.273555,1.944176580621693e-23,2.5581270797653856e-22,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fgd2,9.852086,6.078001,6.713610422831922e-23,8.662723126234737e-22,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd83,9.606916,6.6508546,7.475395336099245e-22,9.403013001382698e-21,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd52,9.209517,28.45387,3.275977129443146e-20,4.044416209189069e-19,astrocyte_vs_microglial cell,astrocyte,microglial cell
Btg2,9.083199,3.8008482,1.0543007382704217e-19,1.2936205377551187e-18,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gna15,8.837415,28.28612,9.795901634067202e-19,1.18738201625057e-17,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tmem176a,8.807899,2.0426261,1.2751266435811167e-18,1.5362971609411043e-17,astrocyte_vs_microglial cell,astrocyte,microglial cell
